SP_CODE,SCIENTIFIC_NAME,BMASS_SP,X_Variable,Y_Variable,Slope,Intercept,r2,ConvertoXVar,FISH_GROUP,References,Notes
RTOX,Rhacochilus toxotes,RTOX,standard length (mm),Wet mass g,3.36,4.50E-06,.,0.84,Actinopterygii,"Quast, 1968b; Roedel, 1953; Burgess & Axelrod, 1984*",
SATR,Sebastes atrovirens,SATR,standard length (mm),Wet mass g,2.92,4.20E-05,.,0.83,Actinopterygii,"Quast, 1968b; Burgess & Axelrod, 1985*",
SAUR,Sebastes auriculatus,SAUR,total length (cm),Wet mass g,2.74,0.044,0.94,.,Actinopterygii,"Love and Johnson, 1999",
SCAL,Squatina californica,RPRO,total length (mm),Wet mass g,2.91,6.90E-06,.,.,Chondrichthyes,Tetratech (unpub. data)*,
SCAR,Sebastes carnatus,SCAR,total length (cm),Wet mass g,3,0.0269,.,.,Actinopterygii, fishbase.org,
SCAU,Sebastes caurinus,SCAU,total length (cm),Wet mass g,3,0.0175,.,.,Actinopterygii, fishbase.org,
SCHR,Sebastes chrysomelas,SAUR,total length (cm),Wet mass g,2.74,0.044,0.94,.,Actinopterygii,"Love and Johnson, 1999",
SCSP,Unidentified YOY Sebastes,SCAR,total length (cm),Wet mass g,3,0.0269,.,.,Actinopterygii, fishbase.org,
SFLA,Sebastes flavidus,SFLA,total length (cm),Wet mass g,2.78372,0.03231,0.97,.,Actinopterygii,"Love et al, 1990",average of male and female data
SGIG,Stereolepis gigas,SGIG,total length (cm),Wet mass g,3,0.0221,.,.,Actinopterygii, fishbase.org,
SGUT,Scorpaena guttata,SGUT,total length (cm),Wet mass g,3.01,0.02,.,.,Actinopterygii,M. Love (unpub. Data)*,
SMAR,Scorpaenichthys marmoratus,SMAR,total length (cm),Wet mass g,3,0.0291,.,.,Actinopterygii, fishbase.org,
SMIN,Sebastes miniatus,SMIN,total length (cm),Wet mass g,2.92339,0.02157,0.98345,.,Actinopterygii,"Love et al, 1990",
SMYS,Sebastes mystinus,SMYS,total length (cm),Wet mass g,3,0.0173,.,.,Actinopterygii, fishbase.org,
SPAR,Sphyraena argentea,SPAR,total length (cm),Wet mass g,2.98,0.004,.,.,Actinopterygii,"Walford, 1932*",
SPAU,Sebastes paucispinis,SPAU,total length (cm),Wet mass g,2.97093,0.01215,0.98,.,Actinopterygii,"Love et al, 1990",average of male and female data
SPUL,Semicossyphus pulcher,SPUL,standard length (mm),Wet mass g,3.16,1.30E-05,.,0.831,Actinopterygii,Fishbase.org,
SRAS,Sebastes rastrelliger,SRAS,total length (cm),Wet mass g,2.77,0.045,0.98,.,Actinopterygii,"Love and Johnson, 1999",
SSER,Sebastes serranoides,SSER,standard length (mm),Wet mass g,2.93,1.30E-05,.,0.81,Actinopterygii,"Quast, 1968b; Burgess & Axelrod, 1984*",
STRE,Sebastes serriceps,SCAR,total length (cm),Wet mass g,3,0.0269,.,.,Actinopterygii, fishbase.org,
SYNG,Syngnathus spp. ,SYNG,standard length (mm),Wet mass g,3.96,1.60E-09,.,0.98,Actinopterygii,"Quast, 1968b; DeMartini (unpub. Data)*",
TSEM,Triakis semifasciata,TSEM,total length (mm),Wet mass g,3.41,3.00E-07,.,.,Chondrichthyes,Tetratech (unpub. Data)*,"*references and data from the 1987 report entitled ""The Effects of Operations of the San Onofre Generating Station on Fish"""
XCAL,Haemulon californiensis,DVAC,standard length (mm),Wet mass g,3.03,2.70E-05,.,0.8,Actinopterygii,"Quast, 1968b; Eckmayer, 1979*",fish > 80mm SL
PONO,Porichthys notatus,PONO,total length (cm),Wet mass g,3.047,0.008,0.933,.,Actinopterygii,Fishbase.org,
GAGA,Galeorhinus galeus,GAGA,total length (cm),Wet mass g,2.667,0.0188,0.737,.,Elasmobranchii,Fishbase.org,
ANOB,Atractoscion nobilis,ANOB,total length (cm),Wet mass g,2.77,0.038,.,.,Actinopterygii,Fishbase.org,
